"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\about.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\about.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\accountPortal.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\accountPortal.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\background.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\background.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\guidelines.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\guidelines.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\header.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\login.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\login.js", "JavaScript", 53, 0, 0, 0, 0, 1, 7, 61
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\post.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\post.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\posts.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\components\posts.js", "JavaScript", 59, 0, 0, 0, 0, 2, 10, 71
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\router.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Daniel\Documents\Fall 2022\SP\internhunt\internhunt\frontend\internhunt\src\utils\getApiRoot.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 1166, 42, 34142, 12, 20, 45, 258, 35685
